OrderID,ProductID,UnitPrice,Quantity,Discount
10382,5,17.00,32,0
10382,18,50.00,9,0
10382,29,99.00,14,0
10382,33,2.00,60,0
10382,74,8.00,50,0
10383,13,4.80,20,0
10383,50,13.00,15,0
10383,56,30.40,20,0
10384,20,64.80,28,0
10384,60,27.20,15,0
10385,7,24.00,10,0.2
10385,60,27.20,20,0.2
10385,68,10.00,8,0.2
10386,24,3.60,15,0
10386,34,11.20,10,0
10387,24,3.60,15,0
10387,28,36.40,6,0
10387,59,44.00,12,0
10387,71,17.20,15,0
10388,45,7.60,15,0.2
10388,52,5.60,20,0.2
10388,53,26.20,40,0
10389,10,24.80,16,0
10389,55,19.20,15,0
10389,62,39.40,20,0
10389,70,12.00,30,0
10390,31,10.00,60,0.1
10390,35,14.40,40,0.1
10390,46,9.60,45,0
10390,72,27.80,24,0.1
10391,13,4.80,18,0
10392,69,28.80,50,0
10393,2,15.20,25,0.25
10393,14,18.60,42,0.25
10393,25,11.20,7,0.25
10393,26,24.90,70,0.25
10393,31,10.00,32,0
10394,13,4.80,10,0
10394,62,39.40,10,0
10395,46,9.60,28,0.1
10395,53,26.20,70,0.1
10395,69,28.80,8,0
10396,23,7.20,40,0
10396,71,17.20,60,0
10396,72,27.80,21,0
10397,21,8.00,10,0.15
10397,51,42.40,18,0.15
10398,35,14.40,30,0
10398,55,19.20,120,0.1
10399,68,10.00,60,0
10399,71,17.20,30,0
10399,76,14.40,35,0
10399,77,10.40,14,0
10400,29,99.00,21,0
10400,35,14.40,35,0
10400,49,16.00,30,0
10401,30,20.70,18,0
10401,56,30.40,70,0
10401,65,16.80,20,0
10401,71,17.20,60,0
10402,23,7.20,60,0
10402,63,35.10,65,0
10403,16,13.90,21,0.15
10403,48,10.20,70,0.15
10404,26,24.90,30,0.05
10404,42,11.20,40,0.05
10404,49,16.00,30,0.05
10405,3,8.00,50,0
10406,1,14.40,10,0
10406,21,8.00,30,0.1
10406,28,36.40,42,0.1
10406,36,15.20,5,0.1
10406,40,14.70,2,0.1
10407,11,16.80,30,0
10407,69,28.80,15,0
10407,71,17.20,15,0
10408,37,20.80,10,0
10408,54,5.90,6,0
10408,62,39.40,35,0
10409,14,18.60,12,0
10409,21,8.00,12,0
10410,33,2.00,49,0
10410,59,44.00,16,0
10411,41,7.70,25,0.2
10411,44,15.50,40,0.2
10411,59,44.00,9,0.2
10412,14,18.60,20,0.1
10413,1,14.40,24,0
10413,62,39.40,40,0
10413,76,14.40,14,0
10414,19,7.30,18,0.05
10414,33,2.00,50,0
10415,17,31.20,2,0
10415,33,2.00,20,0
10416,19,7.30,20,0
10416,53,26.20,10,0
10416,57,15.60,20,0
10417,38,210.80,50,0
10417,46,9.60,2,0.25
10417,68,10.00,36,0.25
10417,77,10.40,35,0
10418,2,15.20,60,0
10418,47,7.60,55,0
10418,61,22.80,16,0
10418,74,8.00,15,0
10419,60,27.20,60,0.05
10419,69,28.80,20,0.05
10420,9,77.60,20,0.1
10420,13,4.80,2,0.1
10420,70,12.00,8,0.1
10420,73,12.00,20,0.1
10421,19,7.30,4,0.15
10421,26,24.90,30,0
10421,53,26.20,15,0.15
10421,77,10.40,10,0.15
10422,26,24.90,2,0
10423,31,10.00,14,0
10423,59,44.00,20,0
10424,35,14.40,60,0.2
10424,38,210.80,49,0.2
10424,68,10.00,30,0.2
10425,55,19.20,10,0.25
10425,76,14.40,20,0.25
10426,56,30.40,5,0
10426,64,26.60,7,0
10427,14,18.60,35,0
10428,46,9.60,20,0
10429,50,13.00,40,0
10429,63,35.10,35,0.25
10430,17,31.20,45,0.2
10430,21,8.00,50,0
10430,56,30.40,30,0
10430,59,44.00,70,0.2
10431,17,31.20,50,0.25
10431,40,14.70,50,0.25
10431,47,7.60,30,0.25
10432,26,24.90,10,0
10432,54,5.90,40,0
10433,56,30.40,28,0
10434,11,16.80,6,0
10434,76,14.40,18,0.15
10435,2,15.20,10,0
10435,22,16.80,12,0
10435,72,27.80,10,0
10436,46,9.60,5,0
10436,56,30.40,40,0.1
10436,64,26.60,30,0.1
10436,75,6.20,24,0.1
10437,53,26.20,15,0
10438,19,7.30,15,0.2
10438,34,11.20,20,0.2
10438,57,15.60,15,0.2
10439,12,30.40,15,0
10439,16,13.90,16,0
10439,64,26.60,6,0
10439,74,8.00,30,0
10440,2,15.20,45,0.15
10440,16,13.90,49,0.15
10440,29,99.00,24,0.15
